Obs,State,Date,Equity Capital - All Institutions,Core Deposits to Total Liabilities - All Institutions,Gross 1-4 Family Mortgages to Gross Assets - All Institutions,Gross Real Estate Assets to Gross Assets - All Institutions,Leverage (Core Capital) Ratio - All Institutions,Net Charge-Offs - All Institutions,Net Income (year-to-date) - All Institutions,Other Real Estate Owned - All Institutions,Reserve Coverage Ratio - All Institutions,Provisions for Credit Losses - All Institutions,Total Assets - All Institutions,Total Deposits - All Institutions,Total Loans & Leases - All Institutions,Total Risk-Based Capital (Non CBLR Electors) - All Institutions
1,California,03/31/1995,10727.0,75.76,17.0,44.96,8.25,116.0,311.0,763.0,108.13,126.0,126029.0,103904.0,80410.0,12.99
2,California,06/30/1995,11082.0,76.46,16.97,44.23,8.39,489.0,467.0,673.0,113.71,468.0,126431.0,105306.0,81419.0,12.99
3,California,09/30/1995,11578.0,76.41,16.93,43.46,8.55,632.0,820.0,669.0,112.85,591.0,129917.0,107825.0,83136.0,13.13
4,California,12/31/1995,11869.0,77.08,16.4,42.41,8.5,801.0,1161.0,618.0,127.49,709.0,133374.0,110844.0,85196.0,12.84
5,California,03/31/1996,11782.0,76.04,16.61,43.0,8.45,98.0,335.0,622.0,124.07,96.0,131821.0,109419.0,84214.0,13.12
6,California,06/30/1996,8694.0,76.11,13.51,45.08,9.41,169.0,448.0,493.0,106.18,166.0,89459.0,74981.0,57648.0,14.46
7,California,09/30/1996,8924.0,75.63,13.33,44.4,9.33,237.0,682.0,449.0,115.66,254.0,91852.0,76738.0,59222.0,14.43
8,California,12/31/1996,8972.0,76.37,12.16,43.02,9.26,313.0,896.0,392.0,133.46,353.0,92639.0,78362.0,59586.0,14.15
9,California,03/31/1997,9371.0,76.24,12.15,42.84,9.31,74.0,262.0,395.0,138.16,81.0,95593.0,80774.0,59978.0,14.17
10,California,06/30/1997,9136.0,75.58,11.49,42.23,9.31,150.0,515.0,345.0,145.15,168.0,94239.0,80028.0,59452.0,13.88
11,California,09/30/1997,9444.0,75.53,11.2,42.09,9.36,204.0,812.0,310.0,155.5,246.0,97137.0,81968.0,61153.0,13.92
12,California,12/31/1997,9757.0,75.86,10.98,41.97,9.3,280.0,1134.0,225.0,181.87,333.0,100688.0,85594.0,63493.0,13.7
13,California,03/31/1998,10281.0,75.77,10.93,41.73,9.35,44.0,318.0,211.0,189.28,70.0,103332.0,87347.0,64803.0,13.69
14,California,06/30/1998,10527.0,75.6,10.59,41.63,9.27,99.0,634.0,182.0,197.33,159.0,106953.0,90130.0,67057.0,13.43
15,California,09/30/1998,10848.0,75.23,10.72,42.66,9.09,173.0,931.0,161.0,201.76,245.0,111282.0,93861.0,69560.0,13.32
16,California,12/31/1998,11467.0,75.52,10.5,43.21,8.76,224.0,1157.0,138.0,190.77,301.0,116140.0,97497.0,73153.0,12.97
17,California,03/31/1999,11696.0,75.0,10.22,44.41,8.82,43.0,346.0,137.0,167.94,81.0,118121.0,98892.0,75377.0,13.05
18,California,06/30/1999,11775.0,74.08,9.89,44.93,8.83,100.0,681.0,134.0,185.07,185.0,120800.0,100332.0,77989.0,13.02
19,California,09/30/1999,11969.0,72.81,9.85,45.67,8.83,169.0,1052.0,129.0,197.68,281.0,122874.0,101486.0,80739.0,12.86
20,California,12/31/1999,12257.0,71.41,9.62,45.29,8.84,251.0,1412.0,102.0,242.36,382.0,125455.0,102870.0,81862.0,12.92
21,California,03/31/2000,12522.0,71.7,9.36,45.38,8.73,55.0,398.0,95.0,238.97,114.0,128657.0,106121.0,83734.0,12.78
22,California,06/30/2000,12781.0,70.59,9.27,45.41,8.79,171.0,807.0,86.0,229.82,286.0,131592.0,108187.0,86507.0,12.66
23,California,09/30/2000,13137.0,70.72,9.26,45.68,8.85,264.0,1264.0,74.0,227.05,435.0,133989.0,111017.0,88617.0,12.69
24,California,12/31/2000,13605.0,70.6,9.06,45.34,8.97,483.0,1556.0,74.0,223.66,688.0,136287.0,112870.0,90022.0,12.64
25,California,03/31/2001,14242.0,71.09,8.98,46.01,9.12,67.0,470.0,70.0,189.48,129.0,138848.0,115243.0,91433.0,12.81
26,California,06/30/2001,14426.0,70.68,8.96,47.24,9.05,175.0,881.0,66.0,176.5,257.0,139903.0,114980.0,93571.0,12.72
27,California,09/30/2001,14792.0,70.5,8.9,48.09,8.92,270.0,1292.0,68.0,160.0,408.0,143159.0,116867.0,95549.0,12.59
28,California,12/31/2001,15268.0,71.74,8.9,48.48,8.88,412.0,1489.0,91.0,168.54,571.0,146712.0,119526.0,97767.0,12.64
29,California,03/31/2002,16370.0,72.08,8.48,48.95,8.96,146.0,341.0,101.0,149.1,189.0,146376.0,117988.0,95669.0,12.77
30,California,06/30/2002,16895.0,72.17,8.47,49.69,9.05,330.0,775.0,74.0,169.97,444.0,150556.0,120376.0,98213.0,12.87
31,California,09/30/2002,17413.0,73.25,8.45,49.14,8.97,510.0,1259.0,73.0,178.88,672.0,156509.0,125693.0,100009.0,12.89
32,California,12/31/2002,17752.0,73.46,8.56,49.36,8.86,667.0,1748.0,78.0,193.69,858.0,161586.0,129365.0,102660.0,12.86
33,California,03/31/2003,17614.0,73.8,8.31,49.69,8.94,89.0,502.0,94.0,192.51,161.0,160561.0,128992.0,100471.0,13.08
34,California,06/30/2003,16539.0,69.63,10.45,55.08,9.37,149.0,1002.0,101.0,215.38,210.0,143826.0,110940.0,94922.0,13.32
35,California,09/30/2003,16976.0,69.55,10.87,55.45,9.35,200.0,1561.0,127.0,227.64,294.0,147967.0,115128.0,98236.0,13.42
36,California,12/31/2003,17751.0,69.17,10.93,55.87,9.42,259.0,2071.0,88.0,234.18,363.0,153469.0,117915.0,102273.0,13.41
37,California,03/31/2004,18076.0,69.23,11.53,56.16,9.53,67.0,567.0,87.0,246.58,95.0,152414.0,117626.0,102677.0,13.55
38,California,06/30/2004,18404.0,68.79,11.67,56.66,9.59,101.0,1160.0,71.0,260.12,137.0,158214.0,121491.0,106936.0,13.47
