Obs,State,Date,30-89 Past Due Loans to Total Loans & Leases - All Institutions,30-89 Past Due Loans to Total Loans & Leases - Assets Less Than $1 Billion,30-89 Past Due Loans to Total Loans & Leases - Assets Greater Than $1 Billion,Community Bank Leverage Ratio (CBLR) Election (Count) - All Institutions,Community Bank Leverage Ratio (CBLR) Election (Count) - Assets Less Than $1 Billion,Community Bank Leverage Ratio (CBLR) Election (Count) - Assets Greater Than $1 Billion,Core Deposits to Total Liabilities - All Institutions,Core Deposits to Total Liabilities - Assets Less Than $1 Billion,Core Deposits to Total Liabilities - Assets Greater Than $1 Billion,Cost of Funding Earning Assets - All Institutions,Cost of Funding Earning Assets - Assets Less Than $1 Billion,Cost of Funding Earning Assets - Assets Greater Than $1 Billion,Credit-Loss Provision to Net Charge-Offs - All Institutions,Credit-Loss Provision to Net Charge-Offs - Assets Less Than $1 Billion,Credit-Loss Provision to Net Charge-Offs - Assets Greater Than $1 Billion,Earning Assets - All Institutions,Earning Assets - Assets Less Than $1 Billion,Earning Assets - Assets Greater Than $1 Billion,Equity Capital - All Institutions,Equity Capital - Assets Less Than $1 Billion,Equity Capital - Assets Greater Than $1 Billion,Equity Capital to Total Assets - All Institutions,Equity Capital to Total Assets - Assets Less Than $1 Billion,Equity Capital to Total Assets - Assets Greater Than $1 Billion,Gross 1-4 Family Mortgages to Gross Assets - All Institutions,Gross 1-4 Family Mortgages to Gross Assets - Assets Less Than $1 Billion,Gross 1-4 Family Mortgages to Gross Assets - Assets Greater Than $1 Billion,Gross Real Estate Assets to Gross Assets - All Institutions,Gross Real Estate Assets to Gross Assets - Assets Less Than $1 Billion,Gross Real Estate Assets to Gross Assets - Assets Greater Than $1 Billion,Leverage (Core Capital) Ratio - All Institutions,Leverage (Core Capital) Ratio - Assets Less Than $1 Billion,Leverage (Core Capital) Ratio - Assets Greater Than $1 Billion,Loss Allowance to Loans & Leases - All Institutions,Loss Allowance to Loans & Leases - Assets Less Than $1 Billion,Loss Allowance to Loans & Leases - Assets Greater Than $1 Billion,Net Charge-Offs - All Institutions,Net Charge-Offs - Assets Less Than $1 Billion,Net Charge-Offs - Assets Greater Than $1 Billion,Net Charge-Offs to Loans & Leases - All Institutions,Net Charge-Offs to Loans & Leases - Assets Less Than $1 Billion,Net Charge-Offs to Loans & Leases - Assets Greater Than $1 Billion,Net Income (year-to-date) - All Institutions,Net Income (year-to-date) - Assets Less Than $1 Billion,Net Income (year-to-date) - Assets Greater Than $1 Billion,Net Interest Income - All Institutions,Net Interest Income - Assets Less Than $1 Billion,Net Interest Income - Assets Greater Than $1 Billion,Net Interest Margin - All Institutions,Net Interest Margin - Assets Less Than $1 Billion,Net Interest Margin - Assets Greater Than $1 Billion,Net Loans & Leases to Total Assets - All Institutions,Net Loans & Leases to Total Assets - Assets Less Than $1 Billion,Net Loans & Leases to Total Assets - Assets Greater Than $1 Billion,Net Operating Income to Average Assets - All Institutions,Net Operating Income to Average Assets - Assets Less Than $1 Billion,Net Operating Income to Average Assets - Assets Greater Than $1 Billion,Noncurrent Loans & Leases to Total Loans & Leases - All Institutions,Noncurrent Loans & Leases to Total Loans & Leases - Assets Less Than $1 Billion,Noncurrent Loans & Leases to Total Loans & Leases - Assets Greater Than $1 Billion,Noninterest Expense to Average Assets - All Institutions,Noninterest Expense to Average Assets - Assets Less Than $1 Billion,Noninterest Expense to Average Assets - Assets Greater Than $1 Billion,Noninterest Income - All Institutions,Noninterest Income - Assets Less Than $1 Billion,Noninterest Income - Assets Greater Than $1 Billion,Noninterest Income to Average Assets - All Institutions,Noninterest Income to Average Assets - Assets Less Than $1 Billion,Noninterest Income to Average Assets - Assets Greater Than $1 Billion,Nonperforming Assets to Total Assets - All Institutions,Nonperforming Assets to Total Assets - Assets Less Than $1 Billion,Nonperforming Assets to Total Assets - Assets Greater Than $1 Billion,Other Real Estate Owned - All Institutions,Other Real Estate Owned - Assets Less Than $1 Billion,Other Real Estate Owned - Assets Greater Than $1 Billion,Percent of Institutions with Earning Gains - All Institutions,Percent of Institutions with Earning Gains - Assets Less Than $1 Billion,Percent of Institutions with Earning Gains - Assets Greater Than $1 Billion,Percent of Unprofitable Institutions - All Institutions,Percent of Unprofitable Institutions - Assets Less Than $1 Billion,Percent of Unprofitable Institutions - Assets Greater Than $1 Billion,Pretax Return on Assets - All Institutions,Pretax Return on Assets - Assets Less Than $1 Billion,Pretax Return on Assets - Assets Greater Than $1 Billion,Provisions for Credit Losses - All Institutions,Provisions for Credit Losses - Assets Less Than $1 Billion,Provisions for Credit Losses - Assets Greater Than $1 Billion,Reserve Coverage Ratio - All Institutions,Reserve Coverage Ratio - Assets Less Than $1 Billion,Reserve Coverage Ratio - Assets Greater Than $1 Billion,Retained Earnings to Average Equity - All Institutions,Retained Earnings to Average Equity - Assets Less Than $1 Billion,Retained Earnings to Average Equity - Assets Greater Than $1 Billion,Return on Assets - All Institutions,Return on Assets - Assets Less Than $1 Billion,Return on Assets - Assets Greater Than $1 Billion,Return on Equity - All Institutions,Return on Equity - Assets Less Than $1 Billion,Return on Equity - Assets Greater Than $1 Billion,Total Assets - All Institutions,Total Assets - Assets Less Than $1 Billion,Total Assets - Assets Greater Than $1 Billion,Total Deposits - All Institutions,Total Deposits - Assets Less Than $1 Billion,Total Deposits - Assets Greater Than $1 Billion,Total Loans & Leases - All Institutions,Total Loans & Leases - Assets Less Than $1 Billion,Total Loans & Leases - Assets Greater Than $1 Billion,Total Risk-Based Capital (Non CBLR Electors) - All Institutions,Total Risk-Based Capital (Non CBLR Electors) - Assets Less Than $1 Billion,Total Risk-Based Capital (Non CBLR Electors) - Assets Greater Than $1 Billion,Yield on Earning Assets - All Institutions,Yield on Earning Assets - Assets Less Than $1 Billion,Yield on Earning Assets - Assets Greater Than $1 Billion
1,Alabama,03/31/2019,0.52,0.9,0.49,0.0,0.0,0.0,83.26,88.15,82.75,0.86,0.82,0.86,152.54,141.49,152.88,231240.0,22640.0,208600.0,33272.0,2955.0,30317.0,12.74,12.05,12.81,17.28,16.73,17.33,46.02,53.6,45.23,9.97,12.1,9.74,1.21,1.26,1.2,190.0,6.0,184.0,0.43,0.15,0.46,692.0,67.0,625.0,2028.0,224.0,1804.0,3.56,4.0,3.51,66.81,61.13,67.4,1.07,1.11,1.06,1.02,0.7,1.05,2.5,2.91,2.46,734.0,41.0,693.0,1.14,0.67,1.19,0.76,0.69,0.77,156.0,62.0,94.0,66.98,66.33,75.0,4.72,5.1,0.0,1.35,1.32,1.36,289.0,8.0,281.0,118.73,179.76,114.86,3.55,3.1,3.59,1.08,1.11,1.07,8.44,9.25,8.36,260827.0,24533.0,236294.0,207233.0,21032.0,186201.0,176379.0,15188.0,161191.0,13.62,18.15,13.21,4.41,4.82,4.37
2,Alabama,06/30/2019,0.55,0.78,0.53,0.0,0.0,0.0,84.42,87.6,84.09,0.89,0.85,0.89,127.05,175.87,125.97,228271.0,22354.0,205916.0,33993.0,3030.0,30964.0,13.16,12.52,13.22,17.45,16.74,17.53,46.14,53.82,45.35,9.9,12.22,9.65,1.23,1.28,1.22,435.0,9.0,426.0,0.5,0.13,0.53,1415.0,142.0,1273.0,4024.0,444.0,3580.0,3.53,4.03,3.48,66.72,61.62,67.24,1.1,1.17,1.1,0.99,0.71,1.02,2.51,2.87,2.47,1521.0,82.0,1439.0,1.18,0.69,1.23,0.74,0.68,0.75,152.0,57.0,95.0,74.04,72.92,87.5,5.77,6.25,0.0,1.37,1.42,1.36,553.0,17.0,536.0,124.1,179.84,120.42,1.47,5.18,1.11,1.1,1.19,1.09,8.54,9.78,8.42,258174.0,24198.0,233976.0,205516.0,20591.0,184926.0,174389.0,15103.0,159286.0,13.65,18.29,13.23,4.42,4.87,4.37
3,Alabama,09/30/2019,0.54,0.8,0.52,0.0,0.0,0.0,84.62,86.84,84.4,0.88,0.84,0.89,114.1,178.24,112.83,229846.0,21355.0,208492.0,34726.0,2929.0,31798.0,13.32,12.69,13.38,17.36,17.01,17.4,46.24,53.57,45.52,10.05,12.33,9.82,1.22,1.29,1.22,725.0,14.0,711.0,0.55,0.13,0.59,2163.0,204.0,1959.0,5996.0,633.0,5363.0,3.51,4.04,3.45,66.0,61.16,66.47,1.11,1.18,1.11,0.92,0.71,0.94,2.51,2.88,2.47,2349.0,121.0,2228.0,1.21,0.71,1.26,0.69,0.66,0.69,158.0,52.0,106.0,70.59,69.89,77.78,4.9,5.38,0.0,1.39,1.43,1.39,827.0,25.0,802.0,133.25,182.35,129.93,2.19,5.5,1.89,1.12,1.2,1.11,8.61,9.75,8.5,260431.0,23076.0,237354.0,205958.0,19577.0,186381.0,174009.0,14298.0,159712.0,13.82,18.73,13.4,4.39,4.88,4.34
4,Alabama,12/31/2019,0.53,0.8,0.51,0.0,0.0,0.0,87.0,86.88,87.01,0.86,0.85,0.86,108.57,153.56,107.4,230588.0,21503.0,209085.0,33725.0,2900.0,30825.0,12.98,12.5,13.03,17.32,16.77,17.38,46.88,53.23,46.26,9.97,12.2,9.74,1.2,1.29,1.2,982.0,25.0,957.0,0.56,0.18,0.6,2407.0,263.0,2144.0,7922.0,831.0,7090.0,3.47,4.01,3.42,66.67,60.82,67.24,0.93,1.15,0.91,0.92,0.73,0.94,2.7,2.91,2.68,3175.0,167.0,3008.0,1.23,0.74,1.28,0.7,0.67,0.7,158.0,51.0,107.0,66.67,66.67,66.67,3.03,3.33,0.0,1.2,1.39,1.18,1066.0,38.0,1028.0,130.42,176.51,127.25,0.08,4.52,-0.32,0.93,1.17,0.91,7.18,9.46,6.98,259586.0,23200.0,236387.0,210046.0,19716.0,190330.0,175164.0,14293.0,160871.0,13.72,18.51,13.32,4.33,4.86,4.28
5,Alabama,03/31/2020,0.5,0.89,0.47,45.0,44.0,1.0,85.7,86.79,85.59,0.67,0.81,0.65,314.6,562.63,312.86,240049.0,21925.0,218123.0,32962.0,2902.0,30060.0,12.28,12.23,12.29,16.67,16.5,16.69,46.28,53.32,45.59,9.92,12.13,9.7,1.76,1.34,1.8,242.0,2.0,240.0,0.54,0.05,0.58,-1953.0,63.0,-2016.0,1906.0,208.0,1698.0,3.24,3.83,3.18,67.6,60.27,68.31,-2.96,1.02,-3.35,0.96,0.7,0.99,5.78,2.87,6.06,773.0,41.0,732.0,1.17,0.7,1.22,0.73,0.64,0.74,156.0,51.0,105.0,46.46,47.78,33.33,5.05,4.44,11.11,-2.87,1.28,-3.27,758.0,9.0,749.0,182.81,191.09,182.31,-24.15,4.49,-26.88,-2.96,1.07,-3.35,-23.45,8.66,-26.51,268138.0,23718.0,244420.0,215164.0,20160.0,195004.0,184505.0,14489.0,170016.0,13.31,18.56,13.09,3.91,4.65,3.83
6,Alabama,06/30/2020,0.41,0.44,0.41,46.0,44.0,2.0,90.92,87.06,91.29,0.53,0.74,0.5,388.38,247.52,390.98,263857.0,23505.0,240352.0,33219.0,2954.0,30265.0,11.35,11.66,11.32,15.6,15.05,15.65,43.15,48.64,42.63,8.9,11.41,8.66,2.3,1.26,2.39,557.0,10.0,547.0,0.61,0.14,0.65,-2136.0,124.0,-2260.0,3901.0,407.0,3495.0,3.19,3.73,3.13,63.9,58.82,64.39,-1.58,1.0,-1.82,0.97,0.66,1.0,4.01,2.76,4.12,1569.0,84.0,1485.0,1.15,0.72,1.19,0.69,0.58,0.7,133.0,47.0,86.0,51.52,50.56,60.0,5.05,4.49,10.0,-1.61,1.27,-1.88,2216.0,25.0,2191.0,237.0,192.64,239.5,-13.6,3.11,-15.17,-1.56,1.05,-1.81,-12.84,8.64,-14.86,292235.0,25327.0,266908.0,246314.0,21551.0,224763.0,191151.0,15088.0,176064.0,13.23,17.42,13.05,3.71,4.48,3.64
7,Alabama,09/30/2020,0.41,0.41,0.41,49.0,46.0,3.0,91.75,88.02,92.1,0.44,0.67,0.42,312.22,361.31,311.62,266776.0,23637.0,243139.0,33859.0,2967.0,30892.0,11.46,11.68,11.44,15.63,14.7,15.71,44.53,48.8,44.14,8.97,11.14,8.76,2.38,1.32,2.48,787.0,9.0,777.0,0.57,0.09,0.61,-1328.0,192.0,-1520.0,5933.0,610.0,5323.0,3.16,3.7,3.11,61.96,59.25,62.22,-0.65,1.03,-0.81,1.33,0.58,1.4,3.41,2.72,3.47,2410.0,129.0,2281.0,1.15,0.72,1.19,0.89,0.51,0.93,117.0,42.0,75.0,50.0,48.86,60.0,6.12,5.68,10.0,-0.6,1.29,-0.77,2510.0,34.0,2476.0,179.18,227.85,177.39,-5.82,6.03,-6.92,-0.64,1.08,-0.8,-5.31,9.03,-6.64,295280.0,25407.0,269873.0,249430.0,21597.0,227833.0,187428.0,15254.0,172174.0,13.72,17.07,13.58,3.6,4.37,3.53
8,Alabama,12/31/2020,0.41,0.6,0.39,46.0,42.0,4.0,92.75,88.84,93.11,0.37,0.63,0.35,251.48,279.62,250.99,270881.0,23432.0,247449.0,34338.0,2893.0,31444.0,11.47,11.44,11.48,15.52,14.46,15.62,44.45,47.77,44.14,9.07,11.0,8.9,2.3,1.36,2.38,952.0,16.0,936.0,0.52,0.12,0.55,-215.0,247.0,-462.0,8026.0,786.0,7240.0,3.16,3.65,3.11,60.11,55.75,60.52,-0.09,1.02,-0.19,1.41,0.58,1.48,3.12,2.67,3.16,3299.0,161.0,3138.0,1.17,0.69,1.21,0.91,0.47,0.95,105.0,35.0,70.0,53.61,53.49,54.55,6.19,5.81,9.09,0.06,1.27,-0.05,2413.0,45.0,2367.0,163.43,233.17,161.11,-2.11,4.66,-2.71,-0.08,1.06,-0.18,-0.64,8.93,-1.5,299036.0,25287.0,273750.0,253883.0,21726.0,232157.0,183994.0,14291.0,169703.0,14.11,17.28,13.98,3.53,4.28,3.46
9,Alabama,03/31/2021,0.32,0.5,0.3,48.0,44.0,4.0,93.38,89.32,93.76,0.16,0.43,0.13,-152.09,463.45,-156.49,279869.0,24563.0,255306.0,34331.0,2848.0,31483.0,11.15,10.82,11.18,14.68,13.56,14.78,43.03,46.94,42.67,9.26,10.86,9.1,2.13,1.37,2.2,142.0,1.0,141.0,0.31,0.03,0.33,1197.0,71.0,1126.0,2054.0,203.0,1851.0,2.98,3.39,2.94,57.82,54.08,58.17,1.57,1.04,1.62,1.38,0.57,1.45,2.26,2.47,2.24,878.0,41.0,837.0,1.16,0.64,1.21,0.85,0.44,0.89,94.0,33.0,61.0,70.1,66.28,100.0,5.15,5.81,0.0,1.98,1.32,2.04,-266.0,5.0,-271.0,154.33,239.91,151.42,10.47,6.82,10.8,1.58,1.1,1.62,13.96,9.9,14.33,307761.0,26330.0,281431.0,263215.0,22907.0,240308.0,181813.0,14438.0,167375.0,14.68,17.35,14.56,3.14,3.82,3.08
10,Alabama,06/30/2021,0.29,0.4,0.28,48.0,45.0,3.0,93.94,89.41,94.32,0.1,0.41,0.08,105.88,153.56,104.8,277226.0,22345.0,254881.0,34121.0,2645.0,31476.0,11.2,11.08,11.21,14.62,13.87,14.68,43.35,47.13,43.03,9.2,10.82,9.06,2.08,1.38,2.14,385.0,9.0,376.0,0.43,0.13,0.45,1163.0,130.0,1032.0,3010.0,374.0,2636.0,2.19,3.47,2.08,57.0,53.66,57.28,0.75,1.08,0.73,1.26,0.62,1.31,1.63,2.47,1.56,1413.0,75.0,1338.0,0.93,0.65,0.96,0.76,0.44,0.78,71.0,25.0,46.0,75.53,71.6,100.0,8.51,8.64,7.69,0.98,1.37,0.95,502.0,13.0,488.0,165.0,222.14,162.86,2.52,7.27,2.13,0.77,1.13,0.74,6.81,10.1,6.54,304348.0,23875.0,280473.0,261135.0,20719.0,240415.0,177160.0,12990.0,164171.0,14.66,16.85,14.58,2.29,3.88,2.15
