Obs,State,Date,Equity Capital - All Institutions,Equity Capital - Assets Less Than $1 Billion,Equity Capital - Assets Greater Than $1 Billion,Gross 1-4 Family Mortgages to Gross Assets - All Institutions,Gross 1-4 Family Mortgages to Gross Assets - Assets Less Than $1 Billion,Gross 1-4 Family Mortgages to Gross Assets - Assets Greater Than $1 Billion,Gross Real Estate Assets to Gross Assets - All Institutions,Gross Real Estate Assets to Gross Assets - Assets Less Than $1 Billion,Gross Real Estate Assets to Gross Assets - Assets Greater Than $1 Billion,Total Assets - All Institutions,Total Assets - Assets Less Than $1 Billion,Total Assets - Assets Greater Than $1 Billion,Total Deposits - All Institutions,Total Deposits - Assets Less Than $1 Billion,Total Deposits - Assets Greater Than $1 Billion,Total Loans & Leases - All Institutions,Total Loans & Leases - Assets Less Than $1 Billion,Total Loans & Leases - Assets Greater Than $1 Billion
1,California,03/31/1995,10727.0,4213.0,6514.0,17.0,12.24,19.72,44.96,45.65,44.57,126029.0,45723.0,80307.0,103904.0,40233.0,63671.0,80410.0,28273.0,52137.0
2,California,06/30/1995,11082.0,4273.0,6809.0,16.97,11.75,19.85,44.23,45.12,43.74,126431.0,44814.0,81617.0,105306.0,39444.0,65862.0,81419.0,27482.0,53937.0
3,California,09/30/1995,11578.0,4292.0,7287.0,16.93,11.72,19.65,43.46,44.88,42.71,129917.0,44410.0,85507.0,107825.0,38978.0,68848.0,83136.0,27115.0,56021.0
4,California,12/31/1995,11869.0,4324.0,7544.0,16.4,11.18,18.97,42.41,43.69,41.78,133374.0,44018.0,89356.0,110844.0,38415.0,72429.0,85196.0,26288.0,58908.0
5,California,03/31/1996,11782.0,4236.0,7546.0,16.61,11.08,19.24,43.0,43.91,42.56,131821.0,42428.0,89394.0,109419.0,36915.0,72504.0,84214.0,25441.0,58772.0
6,California,06/30/1996,8694.0,4322.0,4372.0,13.51,10.95,15.86,45.08,43.78,46.28,89459.0,42838.0,46621.0,74981.0,37162.0,37819.0,57648.0,26064.0,31584.0
7,California,09/30/1996,8924.0,4271.0,4653.0,13.33,10.82,15.46,44.4,43.97,44.77,91852.0,42132.0,49720.0,76738.0,36526.0,40213.0,59222.0,25912.0,33309.0
8,California,12/31/1996,8972.0,4249.0,4723.0,12.16,10.72,13.39,43.02,44.11,42.09,92639.0,42623.0,50016.0,78362.0,36896.0,41465.0,59586.0,26041.0,33545.0
9,California,03/31/1997,9371.0,4260.0,5111.0,12.15,10.4,13.57,42.84,43.8,42.07,95593.0,42892.0,52701.0,80774.0,37227.0,43547.0,59978.0,25598.0,34380.0
10,California,06/30/1997,9136.0,4414.0,4722.0,11.49,10.14,12.68,42.23,43.98,40.7,94239.0,44115.0,50125.0,80028.0,38130.0,41899.0,59452.0,26637.0,32815.0
11,California,09/30/1997,9444.0,4569.0,4876.0,11.2,9.69,12.53,42.09,44.17,40.26,97137.0,45573.0,51564.0,81968.0,39305.0,42663.0,61153.0,27356.0,33797.0
12,California,12/31/1997,9757.0,4547.0,5210.0,10.98,9.79,11.97,41.97,43.95,40.34,100688.0,45584.0,55104.0,85594.0,39436.0,46158.0,63493.0,27070.0,36423.0
13,California,03/31/1998,10281.0,4558.0,5723.0,10.93,10.08,11.61,41.73,44.78,39.33,103332.0,45613.0,57719.0,87347.0,39249.0,48098.0,64803.0,26881.0,37922.0
14,California,06/30/1998,10527.0,4725.0,5801.0,10.59,9.78,11.23,41.63,45.61,38.5,106953.0,47128.0,59825.0,90130.0,40447.0,49683.0,67057.0,28198.0,38859.0
15,California,09/30/1998,10848.0,4579.0,6270.0,10.72,9.3,11.67,42.66,46.39,40.15,111282.0,44828.0,66453.0,93861.0,38324.0,55537.0,69560.0,26762.0,42798.0
16,California,12/31/1998,11467.0,4370.0,7097.0,10.5,9.35,11.19,43.21,46.46,41.28,116140.0,43422.0,72719.0,97497.0,37018.0,60478.0,73153.0,25967.0,47186.0
17,California,03/31/1999,11696.0,4593.0,7103.0,10.22,8.95,11.01,44.41,48.06,42.14,118121.0,45248.0,72873.0,98892.0,38530.0,60363.0,75377.0,27650.0,47727.0
18,California,06/30/1999,11775.0,4551.0,7224.0,9.89,8.78,10.56,44.93,47.64,43.3,120800.0,45455.0,75345.0,100332.0,38512.0,61819.0,77989.0,28017.0,49972.0
19,California,09/30/1999,11969.0,4498.0,7471.0,9.85,8.87,10.42,45.67,48.31,44.15,122874.0,44897.0,77977.0,101486.0,37741.0,63745.0,80739.0,28111.0,52628.0
20,California,12/31/1999,12257.0,4646.0,7612.0,9.62,8.62,10.2,45.29,48.84,43.26,125455.0,45684.0,79771.0,102870.0,37931.0,64938.0,81862.0,28670.0,53192.0
21,California,03/31/2000,12522.0,4829.0,7693.0,9.36,8.09,10.08,45.38,47.91,43.95,128657.0,46467.0,82190.0,106121.0,38639.0,67482.0,83734.0,29025.0,54708.0
