Obs,State,Date,Total Assets - All Institutions,Total Assets - Assets Less Than $1 Billion,Total Assets - Assets Greater Than $1 Billion,Earning Assets - All Institutions,Earning Assets - Assets Less Than $1 Billion,Earning Assets - Assets Greater Than $1 Billion,Total Loans & Leases - All Institutions,Total Loans & Leases - Assets Less Than $1 Billion,Total Loans & Leases - Assets Greater Than $1 Billion,Other Real Estate Owned - All Institutions,Other Real Estate Owned - Assets Less Than $1 Billion,Other Real Estate Owned - Assets Greater Than $1 Billion,Total Deposits - All Institutions,Total Deposits - Assets Less Than $1 Billion,Total Deposits - Assets Greater Than $1 Billion,Equity Capital - All Institutions,Equity Capital - Assets Less Than $1 Billion,Equity Capital - Assets Greater Than $1 Billion,Net Income (year-to-date) - All Institutions,Net Income (year-to-date) - Assets Less Than $1 Billion,Net Income (year-to-date) - Assets Greater Than $1 Billion,Net Interest Income - All Institutions,Net Interest Income - Assets Less Than $1 Billion,Net Interest Income - Assets Greater Than $1 Billion,Provisions for Credit Losses - All Institutions,Provisions for Credit Losses - Assets Less Than $1 Billion,Provisions for Credit Losses - Assets Greater Than $1 Billion,Noninterest Income - All Institutions,Noninterest Income - Assets Less Than $1 Billion,Noninterest Income - Assets Greater Than $1 Billion,Net Charge-Offs - All Institutions,Net Charge-Offs - Assets Less Than $1 Billion,Net Charge-Offs - Assets Greater Than $1 Billion
1,California,03/31/2022,897492.0,20076.0,877416.0,848219.0,19052.0,829167.0,518640.0,13755.0,504885.0,58.0,20.0,38.0,785386.0,17027.0,768360.0,85415.0,2451.0,82964.0,2364.0,53.0,2311.0,5679.0,167.0,5512.0,-8.0,3.0,-12.0,1026.0,21.0,1005.0,42.0,0.0,42.0
2,California,06/30/2022,906720.0,19245.0,887475.0,854499.0,18236.0,836264.0,544891.0,13375.0,531516.0,69.0,20.0,49.0,780715.0,16176.0,764539.0,84812.0,2436.0,82376.0,4790.0,107.0,4684.0,11860.0,333.0,11527.0,271.0,7.0,264.0,2134.0,35.0,2100.0,76.0,1.0,75.0
3,California,09/30/2022,911610.0,18373.0,893236.0,857385.0,17384.0,840001.0,561281.0,12697.0,548584.0,81.0,20.0,61.0,770663.0,15599.0,755064.0,82820.0,2249.0,80572.0,7432.0,169.0,7264.0,18417.0,490.0,17926.0,486.0,9.0,477.0,3218.0,46.0,3172.0,135.0,3.0,132.0
4,California,12/31/2022,916798.0,20290.0,896508.0,862708.0,19168.0,843540.0,577635.0,14531.0,563104.0,80.0,21.0,59.0,759541.0,16813.0,742727.0,84402.0,2643.0,81760.0,9010.0,227.0,8783.0,24847.0,752.0,24095.0,776.0,34.0,743.0,4324.0,67.0,4257.0,244.0,16.0,228.0
5,California,03/31/2023,637181.0,19398.0,617783.0,598384.0,18329.0,580056.0,449751.0,13995.0,435756.0,74.0,19.0,55.0,425159.0,15943.0,409216.0,59675.0,2517.0,57158.0,-231.0,62.0,-293.0,4212.0,196.0,4016.0,143.0,4.0,138.0,542.0,15.0,527.0,102.0,4.0,98.0
6,California,06/30/2023,398734.0,19771.0,378963.0,373204.0,18669.0,354536.0,271951.0,14226.0,257724.0,77.0,19.0,58.0,322004.0,16196.0,305808.0,41599.0,2574.0,39025.0,185.0,118.0,67.0,6380.0,388.0,5992.0,221.0,8.0,213.0,459.0,30.0,429.0,164.0,7.0,157.0
7,California,09/30/2023,396708.0,20882.0,375827.0,370705.0,19743.0,350962.0,271536.0,14302.0,257235.0,106.0,19.0,87.0,321663.0,17068.0,304595.0,41478.0,2841.0,38637.0,1260.0,-377.0,1637.0,9382.0,620.0,8762.0,325.0,69.0,256.0,856.0,-61.0,917.0,280.0,72.0,208.0
8,California,12/31/2023,397310.0,21413.0,375898.0,370979.0,20232.0,350747.0,277937.0,15394.0,262544.0,122.0,23.0,100.0,320783.0,17168.0,303615.0,44376.0,3103.0,41274.0,1547.0,-339.0,1886.0,12332.0,845.0,11487.0,509.0,95.0,414.0,1238.0,-42.0,1279.0,373.0,78.0,295.0
9,California,03/31/2024,388502.0,20690.0,367812.0,362675.0,19596.0,343079.0,270551.0,15003.0,255547.0,138.0,27.0,111.0,317675.0,16590.0,301085.0,43880.0,3036.0,40844.0,818.0,12.0,805.0,2923.0,187.0,2736.0,97.0,5.0,92.0,399.0,18.0,381.0,97.0,22.0,75.0
10,California,06/30/2024,389844.0,18566.0,371278.0,363345.0,17538.0,345807.0,272934.0,13826.0,259108.0,150.0,21.0,129.0,320827.0,15137.0,305690.0,44466.0,2596.0,41871.0,1799.0,83.0,1717.0,5849.0,339.0,5510.0,243.0,9.0,235.0,765.0,32.0,733.0,241.0,28.0,213.0
11,California,09/30/2024,388786.0,19968.0,368818.0,362601.0,18754.0,343848.0,271222.0,14377.0,256845.0,147.0,12.0,135.0,322402.0,16038.0,306364.0,45762.0,2766.0,42997.0,2714.0,126.0,2589.0,8783.0,530.0,8253.0,387.0,26.0,361.0,1035.0,63.0,972.0,329.0,39.0,289.0
12,California,12/31/2024,372092.0,20314.0,351778.0,348469.0,19276.0,329194.0,260536.0,14856.0,245681.0,169.0,10.0,159.0,310164.0,16797.0,293367.0,42763.0,2797.0,39966.0,3530.0,179.0,3352.0,11195.0,730.0,10465.0,570.0,21.0,549.0,1362.0,63.0,1299.0,490.0,31.0,459.0
13,Massachusetts,03/31/2022,503784.0,24835.0,478950.0,432795.0,23454.0,409341.0,161891.0,17104.0,144786.0,0.0,0.0,0.0,416048.0,21316.0,394732.0,47196.0,2736.0,44460.0,929.0,32.0,897.0,1803.0,168.0,1635.0,4.0,1.0,4.0,2641.0,49.0,2592.0,11.0,0.0,11.0
14,Massachusetts,06/30/2022,482490.0,24763.0,457727.0,413385.0,23365.0,390020.0,165742.0,17736.0,148006.0,2.0,0.0,1.0,405122.0,21299.0,383823.0,46424.0,2670.0,43754.0,1986.0,64.0,1922.0,3791.0,347.0,3444.0,40.0,4.0,36.0,5088.0,96.0,4992.0,19.0,0.0,19.0
15,Massachusetts,09/30/2022,487865.0,24812.0,463053.0,417528.0,23345.0,394183.0,172939.0,18212.0,154727.0,1.0,1.0,0.0,401262.0,21180.0,380082.0,45841.0,2600.0,43241.0,3057.0,102.0,2956.0,6002.0,539.0,5463.0,133.0,7.0,126.0,7438.0,145.0,7293.0,71.0,0.0,71.0
16,Massachusetts,12/31/2022,490076.0,22692.0,467384.0,422587.0,21329.0,401257.0,174585.0,16587.0,157998.0,1.0,1.0,1.0,399632.0,19053.0,380579.0,46308.0,2354.0,43954.0,4381.0,167.0,4214.0,8374.0,656.0,7717.0,210.0,6.0,205.0,9891.0,181.0,9710.0,98.0,1.0,97.0
17,Massachusetts,03/31/2023,482613.0,22967.0,459646.0,412738.0,21578.0,391160.0,178878.0,16919.0,161959.0,1.0,0.0,0.0,388684.0,19256.0,369428.0,46653.0,2420.0,44233.0,774.0,38.0,736.0,2249.0,166.0,2084.0,95.0,1.0,93.0,2466.0,45.0,2421.0,16.0,0.0,16.0
18,Massachusetts,06/30/2023,486906.0,23197.0,463709.0,410271.0,21775.0,388496.0,182134.0,17284.0,164850.0,57.0,0.0,57.0,386726.0,19260.0,367466.0,46355.0,2429.0,43926.0,1910.0,75.0,1835.0,4394.0,323.0,4071.0,119.0,3.0,117.0,4973.0,91.0,4882.0,65.0,1.0,65.0
19,Massachusetts,09/30/2023,477243.0,23382.0,453861.0,399835.0,21942.0,377892.0,185576.0,17708.0,167868.0,19.0,0.0,19.0,375924.0,19425.0,356500.0,45838.0,2378.0,43460.0,2729.0,103.0,2627.0,6456.0,478.0,5978.0,155.0,6.0,149.0,7309.0,142.0,7168.0,99.0,1.0,98.0
20,Massachusetts,12/31/2023,491954.0,22769.0,469185.0,417489.0,21402.0,396087.0,188709.0,17165.0,171544.0,24.0,0.0,24.0,384384.0,18320.0,366064.0,46971.0,2426.0,44545.0,3572.0,134.0,3439.0,8512.0,604.0,7908.0,241.0,6.0,235.0,9711.0,186.0,9525.0,140.0,3.0,137.0
21,Massachusetts,03/31/2024,533893.0,20802.0,513092.0,459445.0,19596.0,439849.0,191699.0,15610.0,176089.0,27.0,0.0,27.0,417927.0,17037.0,400890.0,47821.0,2190.0,45632.0,824.0,31.0,794.0,1995.0,126.0,1870.0,59.0,1.0,58.0,2591.0,44.0,2548.0,55.0,1.0,54.0
22,Massachusetts,06/30/2024,523369.0,22082.0,501287.0,440731.0,20751.0,419980.0,194150.0,16595.0,177555.0,25.0,0.0,25.0,405230.0,17928.0,387302.0,48558.0,2360.0,46197.0,1849.0,56.0,1793.0,4004.0,270.0,3734.0,121.0,5.0,116.0,5153.0,99.0,5054.0,102.0,3.0,99.0
23,Massachusetts,09/30/2024,535022.0,21363.0,513659.0,447730.0,20097.0,427633.0,196867.0,16036.0,180831.0,33.0,0.0,33.0,414911.0,17383.0,397528.0,49903.0,2261.0,47642.0,2804.0,83.0,2720.0,5927.0,396.0,5532.0,276.0,9.0,267.0,7816.0,147.0,7669.0,135.0,5.0,130.0
24,Massachusetts,12/31/2024,551106.0,22581.0,528525.0,456455.0,21221.0,435234.0,199173.0,16916.0,182257.0,30.0,0.0,30.0,428845.0,18337.0,410508.0,50035.0,2422.0,47613.0,3918.0,114.0,3805.0,8018.0,551.0,7467.0,335.0,11.0,324.0,10570.0,200.0,10370.0,193.0,6.0,186.0
25,New York,03/31/2022,1392081.0,11582.0,1380500.0,1247263.0,10915.0,1236348.0,504406.0,6806.0,497600.0,58.0,2.0,57.0,1111231.0,10026.0,1101206.0,130006.0,1285.0,128720.0,2552.0,22.0,2530.0,4803.0,81.0,4722.0,469.0,1.0,468.0,4696.0,14.0,4682.0,141.0,1.0,141.0
26,New York,06/30/2022,1444611.0,12873.0,1431738.0,1295498.0,12128.0,1283370.0,557528.0,7514.0,550014.0,65.0,2.0,63.0,1149599.0,11098.0,1138501.0,136991.0,1419.0,135572.0,4828.0,46.0,4782.0,10563.0,185.0,10378.0,1400.0,2.0,1398.0,9316.0,28.0,9288.0,316.0,1.0,315.0
27,New York,09/30/2022,1428711.0,12109.0,1416602.0,1275486.0,11352.0,1264134.0,564942.0,7229.0,557714.0,56.0,2.0,54.0,1132734.0,10387.0,1122347.0,138257.0,1343.0,136913.0,8002.0,75.0,7927.0,17255.0,270.0,16985.0,2026.0,5.0,2022.0,13779.0,38.0,13741.0,587.0,3.0,583.0
28,New York,12/31/2022,1316667.0,12822.0,1303845.0,1185967.0,12071.0,1173895.0,522545.0,7961.0,514584.0,57.0,2.0,55.0,1053579.0,10839.0,1042740.0,134196.0,1433.0,132763.0,10356.0,110.0,10246.0,23356.0,405.0,22951.0,3043.0,7.0,3036.0,18210.0,56.0,18154.0,889.0,5.0,884.0
29,New York,03/31/2023,1231050.0,13240.0,1217810.0,1087439.0,12486.0,1074954.0,446850.0,8165.0,438685.0,60.0,2.0,58.0,939515.0,11186.0,928329.0,129819.0,1492.0,128327.0,3660.0,31.0,3629.0,6632.0,112.0,6520.0,2.0,1.0,1.0,4434.0,13.0,4422.0,337.0,1.0,336.0
30,New York,06/30/2023,1268352.0,12980.0,1255373.0,1128252.0,12217.0,1116035.0,449389.0,8279.0,441110.0,53.0,2.0,51.0,981738.0,10914.0,970824.0,130809.0,1505.0,129304.0,6855.0,64.0,6790.0,13256.0,225.0,13031.0,921.0,2.0,919.0,9293.0,26.0,9266.0,839.0,1.0,838.0
31,New York,09/30/2023,1273431.0,13292.0,1260139.0,1133187.0,12448.0,1120739.0,454683.0,8374.0,446309.0,47.0,2.0,45.0,981273.0,11109.0,970164.0,132288.0,1509.0,130779.0,10216.0,95.0,10121.0,19586.0,337.0,19249.0,1107.0,3.0,1104.0,14698.0,40.0,14659.0,1325.0,2.0,1324.0
32,New York,12/31/2023,1256549.0,13096.0,1243453.0,1123761.0,12326.0,1111435.0,461255.0,8479.0,452776.0,43.0,2.0,41.0,992364.0,10777.0,981587.0,134207.0,1573.0,132633.0,12688.0,120.0,12568.0,25524.0,449.0,25075.0,2006.0,8.0,1998.0,19862.0,55.0,19807.0,1901.0,3.0,1898.0
33,New York,03/31/2024,1316347.0,13447.0,1302900.0,1167945.0,12672.0,1155273.0,471908.0,8470.0,463438.0,44.0,2.0,42.0,1021364.0,11223.0,1010141.0,136968.0,1600.0,135368.0,3842.0,30.0,3812.0,5980.0,109.0,5871.0,601.0,2.0,599.0,6303.0,15.0,6288.0,529.0,2.0,527.0
34,New York,06/30/2024,1300383.0,13231.0,1287152.0,1158376.0,12451.0,1145925.0,470400.0,8518.0,461882.0,37.0,2.0,35.0,1000309.0,10954.0,989354.0,140278.0,1623.0,138654.0,7962.0,58.0,7905.0,12083.0,221.0,11862.0,1134.0,6.0,1129.0,12238.0,30.0,12209.0,1133.0,5.0,1128.0
